trenér,umístění,rok,akce,místo
Ivan Hlinka,3,1993,MS,Dortmund
Ivan Hlinka,5,1994,ZOH,Lillehammer
Ivan Hlinka,7,1994,MS,Milán
Luděk Bukač,4,1995,MS,Stockholm
Luděk Bukač,1,1996,MS,Vídeň
Ivan Hlinka,3,1997,MS,Helsinky
Ivan Hlinka,3,1998,MS,Curych
Ivan Hlinka,1,1998,ZOH,Nagano
Ivan Hlinka,1,1999,MS,Lillehammer
Josef Augusta,1,2000,MS,Petrohrad
Josef Augusta,1,2001,MS,Norimber
Josef Augusta,7,2002,ZOH,Salt Lake City
Josef Augusta,5,2002,MS,Göteborg
Slavomír Lener ,4,2003,MS,Helsinky
Slavomír Lener ,5,2004,MS,Praha
Vladimír Růžička,1,2005,MS,Vídeň
Alois Hadamczik,3,2006,ZOH,Turín
Alois Hadamczik,2,2006,MS,Riga
Alois Hadamczik,7,2007,MS,Moskva
Alois Hadamczik,5,2008,MS,Québeck
Vladimír Růžička,6,2009,MS,Bern
Vladimír Růžička,7,2010,ZOH,Vancouver
Vladimír Růžička,1,2010,MS,Kolín nad Rýnem
Alois Hadamczik,3,2011,MS,Bratislava
Alois Hadamczik,3,2012,MS,Helsinky
Alois Hadamczik,7,2013,MS,Stockholm
